original,oracle_name,dtype,oracle_type,max_observed_length
FRS BU (Leaf),FRS_BU__LEAF_,int64,"NUMBER(18,0)",
AFFILIATE,AFFILIATE,int64,"NUMBER(18,0)",
PMF Account (Leaf),PMF_ACCOUNT__LEAF_,int64,"NUMBER(18,0)",
SCENARIO,SCENARIO,str,VARCHAR2(13),3
YEAR,YEAR,int64,"NUMBER(18,0)",
Balance Type,BALANCE_TYPE,str,VARCHAR2(13),3
Managed Segment L1 Descr,MANAGED_SEGMENT_L1_DESCR,str,VARCHAR2(23),13
Managed Segment L2 Descr,MANAGED_SEGMENT_L2_DESCR,str,VARCHAR2(24),14
Managed Segment L3 Descr,MANAGED_SEGMENT_L3_DESCR,str,VARCHAR2(43),33
Managed Segment L4 Descr,MANAGED_SEGMENT_L4_DESCR,str,VARCHAR2(37),27
Managed Segment L5 Descr,MANAGED_SEGMENT_L5_DESCR,float64,FLOAT,
Managed Geography L1 Descr,MANAGED_GEOGRAPHY_L1_DESCR,str,VARCHAR2(30),20
Managed Geography L2 Descr,MANAGED_GEOGRAPHY_L2_DESCR,str,VARCHAR2(23),13
Managed Geography L3 Descr,MANAGED_GEOGRAPHY_L3_DESCR,str,VARCHAR2(45),35
Managed Geography L4 Descr,MANAGED_GEOGRAPHY_L4_DESCR,str,VARCHAR2(16),6
Managed Geography L5 Descr,MANAGED_GEOGRAPHY_L5_DESCR,float64,FLOAT,
PMF Account L1  Descr,PMF_ACCOUNT_L1__DESCR,str,VARCHAR2(27),17
PMF Account L2 Descr,PMF_ACCOUNT_L2_DESCR,str,VARCHAR2(51),41
PMF Account L3 Descr,PMF_ACCOUNT_L3_DESCR,str,VARCHAR2(31),21
PMF Account L4 Descr,PMF_ACCOUNT_L4_DESCR,str,VARCHAR2(27),17
PMF Account L5 Descr,PMF_ACCOUNT_L5_DESCR,str,VARCHAR2(51),41
PMF Account L6 Descr,PMF_ACCOUNT_L6_DESCR,float64,FLOAT,
PMF Account L7 Descr,PMF_ACCOUNT_L7_DESCR,float64,FLOAT,
PMF Account L8 Descr,PMF_ACCOUNT_L8_DESCR,float64,FLOAT,
Managed Segment L1 Id,MANAGED_SEGMENT_L1_ID,int64,"NUMBER(18,0)",
Managed Segment L2 Id,MANAGED_SEGMENT_L2_ID,int64,"NUMBER(18,0)",
Managed Segment L3 Id,MANAGED_SEGMENT_L3_ID,int64,"NUMBER(18,0)",
Managed Segment L4 Id,MANAGED_SEGMENT_L4_ID,int64,"NUMBER(18,0)",
Managed Segment L5 Id,MANAGED_SEGMENT_L5_ID,int64,"NUMBER(18,0)",
Managed Geography L1  Id,MANAGED_GEOGRAPHY_L1__ID,int64,"NUMBER(18,0)",
Managed Geography L2  Id,MANAGED_GEOGRAPHY_L2__ID,str,VARCHAR2(12),2
Managed Geography L3  Id,MANAGED_GEOGRAPHY_L3__ID,int64,"NUMBER(18,0)",
Managed Geography L4  Id,MANAGED_GEOGRAPHY_L4__ID,str,VARCHAR2(12),2
Managed Geography L5  Id,MANAGED_GEOGRAPHY_L5__ID,str,VARCHAR2(12),2
PMF Account L2 Id,PMF_ACCOUNT_L2_ID,int64,"NUMBER(18,0)",
PMF Account L3 Id,PMF_ACCOUNT_L3_ID,int64,"NUMBER(18,0)",
PMF Account L4 Id,PMF_ACCOUNT_L4_ID,int64,"NUMBER(18,0)",
PMF Account L5 Id,PMF_ACCOUNT_L5_ID,int64,"NUMBER(18,0)",
PMF Account L6 Id,PMF_ACCOUNT_L6_ID,int64,"NUMBER(18,0)",
PMF Account L7 Id,PMF_ACCOUNT_L7_ID,int64,"NUMBER(18,0)",
PMF Account L8 Id,PMF_ACCOUNT_L8_ID,int64,"NUMBER(18,0)",
PMF_FLIP_SIGN,PMF_FLIP_SIGN,int64,"NUMBER(18,0)",
FRS BU (Node),FRS_BU__NODE_,int64,"NUMBER(18,0)",
FRS BU (Node) Descr,FRS_BU__NODE__DESCR,str,VARCHAR2(35),25
M3_USDOLLAR,M3_USDOLLAR,float64,FLOAT,
M6_USDOLLAR,M6_USDOLLAR,float64,FLOAT,
M9_USDOLLAR,M9_USDOLLAR,float64,FLOAT,
M12_USDOLLAR,M12_USDOLLAR,float64,FLOAT,
